Name,GEDR3_parallax_dist_kpc,GEDR3_parallax_dist_err_upper,GEDR3_parallax_dist_err_lower,GEDR3_kin_dist_kpc,GEDR3_kin_dist_err,HST_kin_dist_kpc,HST_kin_dist_err,Subdwarf_dist_kpc,Subdwarf_dist_err_upper,Subdwarf_dist_err_lower,Star_count_dist_kpc,Star_count_dist_err,Lit_dist_kpc,Lit_dist_err_upper,Lit_dist_err_lower,Mean_distance_kpc,Mean_distance_err_upper,Mean_distance_err_lower,N_Tot
2MASS-GC01,,,,,,,,,,,,,3.373,0.682,0.567,3.373,0.682,0.567,1
2MASS-GC02,,,,,,,,,,,,,5.503,0.456,0.421,5.503,0.456,0.421,2
NGC 6254,5.394,0.412,0.358,4.976,0.199,,4.989,0.235,0.225,5.346,0.310,5.051,0.070,0.069,5.067,0.064,0.063,19
NGC 6256,,,,,,,7.516,0.650,0.598,7.680,0.804,7.204,0.326,0.312,7.242,0.299,0.288,9
NGC 6266,5.764,0.426,0.371,6.395,0.327,6.502,0.163,,,,6.956,0.325,6.249,0.172,0.167,6.412,0.105,0.104,13
NGC 6273,7.657,0.683,0.580,7.658,0.424,,,,,8.463,0.536,8.527,0.203,0.198,8.343,0.165,0.163,10
NGC 6284,,,,,,,,,,,,,14.309,0.435,0.422,14.208,0.427,0.415,6
NGC 6287,7.184,0.721,0.601,,,,,,,,,8.143,0.427,0.406,7.929,0.376,0.356,6
NGC 6293,,,,,,,,,,,9.273,1.131,9.209,0.297,0.288,9.192,0.282,0.274,7
NGC 6304,6.373,0.504,0.435,7.304,0.684,,5.702,0.214,0.206,,,6.059,0.161,0.157,6.152,0.150,0.146,13
NGC 6316,,,,9.631,0.901,,,,,9.131,1.785,11.792,0.499,0.479,11.152,0.393,0.382,7
NGC 6325,6.627,0.646,0.540,,,,,8.241,0.795,0.725,,,7.755,0.369,0.352,7.533,0.330,0.314,7
NGC 6333,8.052,0.775,0.650,,,,,,,,,8.310,0.147,0.144,8.300,0.144,0.142,8
NGC 6341,,,,8.627,0.473,8.231,0.374,8.872,0.333,0.321,8.188,0.345,8.511,0.075,0.074,8.501,0.071,0.070,35
NGC 6342,7.716,0.787,0.654,,,,,8.054,0.302,0.291,,,8.043,0.244,0.237,8.013,0.233,0.226,6
NGC 6352,5.583,0.378,0.333,,,6.260,0.816,5.702,0.214,0.206,5.564,0.295,5.534,0.077,0.076,5.543,0.073,0.072,16
NGC 6355,7.236,0.707,0.591,,,,,8.472,0.318,0.306,9.444,0.449,8.527,0.259,0.251,8.655,0.224,0.220,8
NGC 6356,,,,,,,,,,,,,15.900,0.973,0.917,15.656,0.946,0.890,4
NGC 6362,8.026,0.731,0.618,7.717,0.440,7.720,0.341,7.656,0.287,0.277,6.849,0.326,7.677,0.071,0.070,7.649,0.067,0.066,28
NGC 6366,3.643,0.181,0.165,3.404,0.256,,3.548,0.167,0.160,3.861,0.297,3.407,0.055,0.054,3.444,0.051,0.050,14
NGC 6380,,,,,,,9.550,0.358,0.345,,,9.532,0.312,0.302,9.607,0.306,0.296,4
NGC 6388,,,,,10.894,0.230,10.765,0.404,0.389,11.196,0.466,11.545,0.280,0.273,11.171,0.162,0.161,15
NGC 6397,2.458,0.061,0.058,2.467,0.056,2.371,0.051,2.410,0.090,0.087,2.531,0.107,2.512,0.024,0.024,2.482,0.019,0.019,29
NGC 6401,7.283,0.781,0.643,,,,,8.204,0.308,0.297,8.448,0.376,7.910,0.316,0.304,8.064,0.238,0.234,7
NGC 6402,8.482,0.847,0.706,,,,,,,,,9.204,0.267,0.259,9.144,0.255,0.248,6
NGC 6426,,,,,,,21.677,1.022,0.976,,,20.701,0.356,0.350,20.710,0.355,0.349,8
NGC 6440,7.283,0.742,0.617,7.394,0.776,,,,,,,8.461,0.281,0.272,8.248,0.248,0.241,7
NGC 6441,,,,,12.190,0.244,,,,13.095,0.674,13.176,0.245,0.240,12.728,0.163,0.162,16
NGC 6453,,,,,,,,,,,11.149,0.523,9.804,0.238,0.232,10.070,0.220,0.216,8
NGC 6496,,,,9.823,0.612,,9.204,0.345,0.333,9.326,0.988,9.647,0.161,0.159,9.641,0.153,0.151,11
